date,open,close,high,low,volume,code
2023-05-30,0.757,0.757,0.761,0.748,1138458,159601
2023-05-30,0.76,0.754,0.76,0.746,352857,159602
2023-05-30,0.881,0.888,0.892,0.876,234357,159603
2023-05-30,0.704,0.71,0.712,0.696,17910074,159605
2023-05-30,0.807,0.81,0.81,0.798,144125,159606
2023-05-30,0.703,0.711,0.711,0.696,7698634,159607
2023-05-30,0.665,0.663,0.668,0.654,204074,159608
2023-05-30,0.702,0.698,0.708,0.69,367819,159609
2023-05-30,0.829,0.82,0.829,0.808,176124,159610
2023-05-30,0.974,0.969,0.975,0.959,2110228,159611
2023-05-30,1.114,1.121,1.123,1.114,365359,159612
2023-05-30,0.901,0.929,0.93,0.891,127941,159613
2023-05-30,0.865,0.87,0.872,0.852,386512,159615
2023-05-30,0.765,0.761,0.77,0.75,81016,159616
2023-05-30,1.063,1.074,1.076,1.06,23021,159617
2023-05-30,0.973,0.959,0.976,0.949,143162,159618
2023-05-30,0.973,0.996,1.001,0.969,429227,159619
2023-05-30,0.937,0.941,0.942,0.929,12910,159620
2023-05-30,0.944,0.945,0.946,0.933,28171,159621
2023-05-30,0.965,0.954,0.97,0.94,147857,159622
2023-05-30,0.872,0.872,0.878,0.861,65385,159623
2023-05-30,1.117,1.119,1.126,1.108,271325,159625
2023-05-30,0.998,1.0,1.0,0.989,2303,159627
2023-05-30,1.0,1.008,1.008,0.991,696583,159628
2023-05-30,0.921,0.924,0.925,0.909,5889197,159629
2023-05-30,1.038,1.038,1.04,1.026,30470,159630
2023-05-30,0.908,0.907,0.91,0.895,197943,159631
2023-05-30,1.174,1.181,1.182,1.172,1881862,159632
2023-05-30,0.929,0.931,0.931,0.915,5451952,159633
2023-05-30,1.041,1.067,1.072,1.037,271187,159635
2023-05-30,0.794,0.801,0.803,0.787,584872,159636
2023-05-30,0.732,0.738,0.741,0.729,696627,159637
2023-05-30,0.861,0.851,0.861,0.838,485175,159638
2023-05-30,0.778,0.779,0.783,0.77,162644,159639
2023-05-30,0.78,0.78,0.784,0.773,104386,159640
2023-05-30,0.787,0.79,0.793,0.781,207847,159641
2023-05-30,0.79,0.789,0.793,0.781,92321,159642
2023-05-30,0.843,0.833,0.845,0.822,268313,159643
2023-05-30,0.957,0.95,0.961,0.937,80927,159645
2023-05-30,0.843,0.838,0.846,0.825,51929,159646
2023-05-30,1.259,1.257,1.264,1.241,839770,159647
2023-05-30,0.856,0.856,0.859,0.844,34255,159652
2023-05-30,0.962,0.949,0.962,0.939,30312,159653
2023-05-30,1.079,1.08,1.095,1.076,3567,159655
2023-05-30,0.894,0.894,0.899,0.883,92852,159656
2023-05-30,0.882,0.88,0.888,0.865,70701,159657
2023-05-30,1.118,1.131,1.132,1.105,307808,159658
2023-05-30,1.134,1.132,1.134,1.124,24381,159659
2023-05-30,1.127,1.132,1.133,1.124,98751,159660
2023-05-30,0.978,0.976,0.98,0.967,313924,159662
2023-05-30,0.956,0.97,0.971,0.95,197242,159663
2023-05-30,1.086,1.093,1.095,1.072,236887,159665
2023-05-30,0.944,0.946,0.946,0.935,3029,159666
