date,increase_cnt,decrease_cnt,increase_rate
1990-12-19,4,0,inf
1990-12-20,4,0,inf
1990-12-21,5,0,inf
1990-12-24,2,4,0.5
1990-12-25,4,1,4.0
1990-12-26,3,0,inf
1990-12-27,1,0,inf
1990-12-28,5,0,inf
1990-12-31,5,0,inf
1991-01-02,7,0,inf
1991-01-03,5,0,inf
1991-01-04,5,1,5.0
1991-01-05,0,1,0.0
1991-01-07,5,1,5.0
1991-01-08,6,0,inf
1991-01-09,5,1,5.0
1991-01-10,4,2,2.0
1991-01-11,6,2,3.0
1991-01-12,0,1,0.0
1991-01-14,5,3,1.6666666666666667
1991-01-15,3,5,0.6
1991-01-16,3,5,0.6
1991-01-17,2,7,0.2857142857142857
1991-01-18,2,5,0.4
1991-01-19,0,2,0.0
1991-01-21,2,4,0.5
1991-01-22,4,3,1.3333333333333333
1991-01-23,2,6,0.3333333333333333
1991-01-24,2,5,0.4
1991-01-25,2,4,0.5
1991-01-26,0,1,0.0
1991-01-28,1,3,0.3333333333333333
1991-01-29,3,5,0.6
1991-01-30,2,7,0.2857142857142857
1991-01-31,2,5,0.4
1991-02-01,2,1,2.0
1991-02-02,2,1,2.0
1991-02-04,5,2,2.5
1991-02-05,5,3,1.6666666666666667
1991-02-06,7,1,7.0
1991-02-07,8,1,8.0
1991-02-08,6,2,3.0
1991-02-09,1,2,0.5
1991-02-11,5,3,1.6666666666666667
1991-02-12,4,4,1.0
1991-02-13,5,3,1.6666666666666667
1991-02-14,4,1,4.0
1991-02-19,3,1,3.0
1991-02-20,4,1,4.0
1991-02-21,5,1,5.0
1991-02-22,6,3,2.0
1991-02-23,1,2,0.5
1991-02-25,2,6,0.3333333333333333
1991-02-26,4,4,1.0
1991-02-27,4,4,1.0
1991-02-28,4,4,1.0
1991-03-01,3,4,0.75
1991-03-02,0,2,0.0
1991-03-04,4,4,1.0
1991-03-05,2,6,0.3333333333333333
1991-03-06,2,7,0.2857142857142857
1991-03-07,1,6,0.16666666666666666
1991-03-08,1,6,0.16666666666666666
1991-03-09,0,2,0.0
1991-03-11,1,7,0.14285714285714285
1991-03-12,1,7,0.14285714285714285
1991-03-13,1,7,0.14285714285714285
1991-03-14,1,7,0.14285714285714285
1991-03-15,3,6,0.5
1991-03-16,0,2,0.0
1991-03-18,1,8,0.125
1991-03-19,2,6,0.3333333333333333
1991-03-20,0,8,0.0
1991-03-21,1,7,0.14285714285714285
1991-03-22,0,6,0.0
1991-03-23,0,2,0.0
1991-03-25,1,7,0.14285714285714285
1991-03-26,2,6,0.3333333333333333
1991-03-27,1,5,0.2
1991-03-28,1,7,0.14285714285714285
1991-03-29,4,5,0.8
1991-03-30,3,0,inf
1991-04-01,6,1,6.0
1991-04-02,4,5,0.8
1991-04-03,6,3,2.0
1991-04-04,3,8,0.375
1991-04-05,3,6,0.5
1991-04-06,0,3,0.0
1991-04-08,3,8,0.375
1991-04-09,2,8,0.25
1991-04-10,2,8,0.25
1991-04-11,2,6,0.3333333333333333
