基金代码,基金简称,类型,2023-05-30-单位净值,2023-05-30-累计净值,2023-05-29-单位净值,2023-05-29-累计净值,增长值,增长率,市价,折价率
159601,华夏MSCI中国A50互联互通ETF行情,指数型-股票,0.7577,0.7577,0.7581,0.7581,-0.0004,-0.05%,0.7570,0.09%
159602,南方MSCI中国A50互联互通ETF行情,指数型-股票,0.7561,0.7561,0.7572,0.7572,-0.0011,-0.15%,0.7540,0.28%
159603,天弘中证科创创业50ETF行情,指数型-股票,0.8881,0.8881,0.8819,0.8819,0.0062,0.70%,0.8880,0.01%
159605,广发海外中国互联网30(QDII-ETF)行情,QDII,---,---,0.6990,0.6990,---,---,0.7100,---
159606,易方达中证500质量成长ETF行情,指数型-股票,0.8110,0.8110,0.8062,0.8062,0.0048,0.60%,0.8100,0.12%
159607,嘉实中证海外中国互联网30ETF(QDII)行情,QDII,---,---,0.6997,0.6997,---,---,0.7110,---
159608,广发中证稀有金属主题ETF行情,指数型-股票,0.6649,0.6649,0.6666,0.6666,-0.0017,-0.26%,0.6630,0.29%
159609,浦银安盛中证光伏产业ETF行情,指数型-股票,0.6960,0.6960,0.7026,0.7026,-0.0066,-0.94%,0.6980,-0.29%
159610,景顺中证500增强策略ETF行情,指数型-股票,0.8208,0.8208,0.8151,0.8151,0.0057,0.70%,0.8200,0.10%
159611,广发中证全指电力公用事业ETF行情,指数型-股票,0.9694,0.9694,0.9731,0.9731,-0.0037,-0.38%,0.9690,0.04%
159612,国泰标普500(QDII-ETF)行情,QDII,---,---,1.1115,1.1115,---,---,1.1210,---
159613,嘉实中证信息安全主题ETF行情,指数型-股票,0.9292,0.9292,0.9045,0.9045,0.0247,2.73%,0.9290,0.02%
159615,南方恒生香港上市生物科技ETF(QDII)行情,QDII,0.8678,0.8678,0.8558,0.8558,0.0120,1.40%,0.8700,-0.25%
159616,建信中证农牧主题ETF行情,指数型-股票,0.7617,0.7617,0.7662,0.7662,-0.0045,-0.59%,0.7610,0.09%
159617,华夏中证智选500价值稳健策略ETF行情,指数型-股票,1.0760,1.0760,1.0688,1.0688,0.0072,0.67%,1.0740,0.19%
159618,华安中证光伏产业ETF行情,指数型-股票,0.9584,0.9584,0.9673,0.9673,-0.0089,-0.92%,0.9590,-0.06%
159619,国泰中证基建ETF行情,指数型-股票,0.9926,0.9926,0.9738,0.9738,0.0188,1.93%,0.9960,-0.34%
159620,华夏中证智选500成长创新策略ETF行情,指数型-股票,0.9430,0.9430,0.9380,0.9380,0.0050,0.53%,0.9410,0.21%
159621,国泰MSCI中国A股ESG通用ETF行情,指数型-股票,0.9477,0.9477,0.9467,0.9467,0.0010,0.11%,0.9450,0.28%
159622,西藏东财中证沪港深创新药产业ETF行情,指数型-股票,0.9570,0.9570,0.9600,0.9600,-0.0030,-0.31%,0.9540,0.31%
159623,博时成渝经济圈ETF行情,指数型-股票,0.8748,0.8748,0.8760,0.8760,-0.0012,-0.14%,0.8720,0.32%
159625,嘉实国证绿色电力ETF行情,指数型-股票,1.1198,1.1198,1.1215,1.1215,-0.0017,-0.15%,1.1190,0.07%
159627,华夏中证100ETF行情,指数型-股票,1.0006,1.0006,0.9981,0.9981,0.0025,0.25%,1.0000,0.06%
159628,万家国证2000ETF行情,指数型-股票,1.0067,1.0067,1.0003,1.0003,0.0064,0.64%,1.0080,-0.13%
159629,富国中证1000ETF行情,指数型-股票,1.9737,0.9240,1.9639,0.9194,0.0098,0.50%,1.9730,0.04%
159630,汇添富中证100ETF行情,指数型-股票,1.0396,1.0396,1.0369,1.0369,0.0027,0.26%,1.0380,0.15%
159631,招商中证100ETF行情,指数型-股票,0.9090,0.9090,0.9067,0.9067,0.0023,0.25%,0.9070,0.22%
159632,华安纳斯达克100ETF(QDII)行情,QDII,---,---,1.1675,1.1675,---,---,1.1810,---
159633,易方达中证1000ETF行情,指数型-股票,1.9717,0.9299,1.9618,0.9253,0.0099,0.50%,1.9730,-0.07%
159635,华夏中证基建ETF行情,指数型-股票,1.0632,1.0632,1.0427,1.0427,0.0205,1.97%,1.0670,-0.36%
159636,工银瑞信国证港股通科技30ETF行情,指数型-股票,0.8040,0.8040,0.7915,0.7915,0.0125,1.58%,0.8010,0.37%
159637,新能源车龙头ETF行情,指数型-股票,0.7397,0.7397,0.7324,0.7324,0.0073,1.00%,0.7380,0.23%
159638,嘉实中证高端装备细分50ETF行情,指数型-股票,0.8521,0.8521,0.8598,0.8598,-0.0077,-0.90%,0.8510,0.13%
159639,南方中证上海环交所碳中和ETF行情,指数型-股票,0.7795,0.7795,0.7776,0.7776,0.0019,0.24%,0.7790,0.06%
159640,工银瑞信中证上海环交所碳中和ETF行情,指数型-股票,0.7815,0.7815,0.7796,0.7796,0.0019,0.24%,0.7800,0.19%
159641,招商中证上海环交所碳中和ETF行情,指数型-股票,0.7897,0.7897,0.7878,0.7878,0.0019,0.24%,0.7900,-0.04%
159642,大成中证上海环交所碳中和ETF行情,指数型-股票,0.7900,0.7900,0.7885,0.7885,0.0015,0.19%,0.7890,0.13%
159643,国泰国证疫苗与生物科技ETF行情,指数型-股票,0.8351,0.8351,0.8418,0.8418,-0.0067,-0.80%,0.8330,0.25%
159645,富国国证疫苗与生物科技ETF行情,指数型-股票,0.9503,0.9503,0.9579,0.9579,-0.0076,-0.79%,0.9500,0.03%
159646,华泰柏瑞国证疫苗与生物科技ETF行情,指数型-股票,0.8384,0.8384,0.8449,0.8449,-0.0065,-0.77%,0.8380,0.05%
159647,鹏华中证中药ETF行情,指数型-股票,1.2564,1.2564,1.2606,1.2606,-0.0042,-0.33%,1.2570,-0.05%
159649,华安中债1-5年国开债ETF行情,债券型-长债,101.5704,1.0157,101.5493,1.0155,0.0211,0.02%,101.5860,-0.02%
159650,博时中债0-3年国开行ETF行情,债券型-中短债,101.3632,1.0136,101.3406,1.0134,0.0226,0.02%,101.3690,-0.01%
159651,平安中债-0-3年国开行债券ETF行情,债券型-中短债,101.2480,1.0125,101.2321,1.0123,0.0159,0.02%,101.2460,0.00%
159652,汇添富中证细分有色金属产业主题ETF行情,指数型-股票,0.8578,0.8578,0.8591,0.8591,-0.0013,-0.15%,0.8560,0.21%
159653,国联安国证ESG300ETF行情,指数型-股票,0.9477,0.9477,0.9489,0.9489,-0.0012,-0.13%,0.9490,-0.14%
159655,华夏标普500ETF(QDII)行情,QDII,---,---,1.0776,1.0776,---,---,1.0800,---
159656,万家沪深300成长ETF行情,指数型-股票,0.8965,0.8965,0.8947,0.8947,0.0018,0.20%,0.8940,0.28%
159657,鹏华国证疫苗与生物科技ETF行情,指数型-股票,0.8799,0.8799,0.8868,0.8868,-0.0069,-0.78%,0.8800,-0.01%
159658,华安中证数字经济主题ETF行情,指数型-股票,1.1305,1.1305,1.1162,1.1162,0.0143,1.28%,1.1310,-0.04%
159659,招商纳斯达克100ETF(QDII)行情,QDII,---,---,1.1200,1.1200,---,---,1.1320,---
159660,汇添富纳斯达克100ETF行情,QDII,---,---,1.1199,1.1199,---,---,1.1320,---
159662,南方国证交通运输行业ETF行情,指数型-股票,0.9781,0.9781,0.9811,0.9811,-0.0030,-0.31%,0.9760,0.21%
159663,华夏中证机床ETF行情,指数型-股票,0.9712,0.9712,0.9636,0.9636,0.0076,0.79%,0.9700,0.12%
159665,工银瑞信国证半导体芯片ETF行情,指数型-股票,1.0924,1.0924,1.0899,1.0899,0.0025,0.23%,1.0930,-0.05%
159666,华夏中证全指运输ETF行情,指数型-股票,0.9487,0.9487,0.9505,0.9505,-0.0018,-0.19%,0.9460,0.28%
159667,国泰中证机床ETF行情,指数型-股票,0.9585,0.9585,0.9508,0.9508,0.0077,0.81%,0.9590,-0.05%
159669,国泰国证绿色电力ETF行情,指数型-股票,1.0380,1.0380,1.0397,1.0397,-0.0017,-0.16%,1.0350,0.29%
159670,国联安中证消费50ETF行情,指数型-股票,0.9556,0.9556,0.9648,0.9648,-0.0092,-0.95%,0.9530,0.27%
159671,工银瑞信中证稀有金属主题ETF行情,指数型-股票,0.8332,0.8332,0.8353,0.8353,-0.0021,-0.25%,0.8330,0.02%
159672,博时主要消费ETF行情,指数型-股票,0.8863,0.8863,0.8949,0.8949,-0.0086,-0.96%,0.8850,0.15%
159675,嘉实创业板增强策略ETF行情,指数型-股票,0.8870,0.8870,0.8840,0.8840,0.0030,0.34%,0.8850,0.23%
159676,富国创业板增强策略ETF行情,指数型-股票,0.9126,0.9126,0.9111,0.9111,0.0015,0.16%,0.9110,0.18%
159677,银华中证1000增强策略ETF行情,指数型-股票,1.0325,1.0325,1.0296,1.0296,0.0029,0.28%,1.0310,0.15%
159678,博时中证500增强策略ETF行情,指数型-股票,0.9540,0.9540,0.9506,0.9506,0.0034,0.36%,0.9540,0.00%
159679,国泰中证1000增强策略ETF行情,指数型-股票,0.9422,0.9422,0.9395,0.9395,0.0027,0.29%,0.9390,0.34%
159680,招商中证1000增强策略ETF行情,指数型-股票,1.0331,1.0331,1.0312,1.0312,0.0019,0.18%,1.0310,0.20%
159681,鹏华创业板50ETF行情,指数型-股票,0.9125,0.9125,0.9076,0.9076,0.0049,0.54%,0.9100,0.27%
159682,景顺长城创业板50ETF行情,指数型-股票,0.9055,0.9055,0.9005,0.9005,0.0050,0.56%,0.9040,0.17%
159683,嘉实中证内地运输主题ETF行情,指数型-股票,0.9577,0.9577,0.9602,0.9602,-0.0025,-0.26%,0.9550,0.28%
159685,天弘中证1000增强ETF行情,指数型-股票,0.9942,0.9942,0.9872,0.9872,0.0070,0.71%,0.9930,0.12%
159687,南方基金南方东英银河联昌富时亚太低碳精选ETF(QDII)行情,QDII,---,---,1.0263,1.0263,---,---,1.0390,---
159688,华安恒生互联网科技业ETF(QDII)行情,QDII,0.8107,0.8107,0.7934,0.7934,0.0173,2.18%,0.8110,-0.04%
159689,南方中证主要消费ETF行情,指数型-股票,0.8877,0.8877,0.8965,0.8965,-0.0088,-0.98%,0.8880,-0.03%
159691,工银瑞信中证港股通高股息精选ETF行情,指数型-股票,0.9234,0.9234,0.9290,0.9290,-0.0056,-0.60%,0.9220,0.15%
159692,东财中证证券公司30ETF行情,指数型-股票,0.9640,0.9640,0.9630,0.9630,0.0010,0.10%,0.9620,0.21%
159695,嘉实国证通信ETF行情,指数型-股票,1.0103,1.0103,0.9859,0.9859,0.0244,2.47%,1.0050,0.52%
159697,鹏华国证石油天然气ETF行情,指数型-股票,0.9603,0.9603,0.9614,0.9614,-0.0011,-0.11%,0.9590,0.14%
159701,招商中证物联网主题ETF行情,指数型-股票,0.7396,0.7396,0.7272,0.7272,0.0124,1.71%,0.7390,0.08%
159703,天弘中证新材料主题ETF行情,指数型-股票,0.7811,0.7811,0.7820,0.7820,-0.0009,-0.12%,0.7800,0.14%
159706,华安深证100ETF行情,指数型-股票,0.7058,0.7058,0.7039,0.7039,0.0019,0.27%,0.7060,-0.03%
159707,华宝中证800地产ETF行情,指数型-股票,0.8050,0.8050,0.7949,0.7949,0.0101,1.27%,0.8080,-0.37%
159708,西部利得深证红利ETF行情,指数型-股票,0.7213,0.7213,0.7240,0.7240,-0.0027,-0.37%,0.7200,0.18%
159709,工银瑞信深证物联网50ETF行情,指数型-股票,0.8105,0.8105,0.7958,0.7958,0.0147,1.85%,0.8100,0.06%
159710,建信中证智能电动汽车ETF行情,指数型-股票,0.6442,0.6442,0.6348,0.6348,0.0094,1.48%,0.6430,0.19%
159711,华夏中证港股通50ETF行情,指数型-股票,0.9232,0.9232,0.9162,0.9162,0.0070,0.76%,0.9180,0.56%
159712,国泰中证港股通50ETF行情,指数型-股票,0.8702,0.8702,0.8635,0.8635,0.0067,0.78%,0.8680,0.25%
159713,富国中证稀土产业ETF行情,指数型-股票,0.7466,0.7466,0.7461,0.7461,0.0005,0.07%,0.7470,-0.05%
159715,易方达中证稀土产业ETF行情,指数型-股票,0.6645,0.6645,0.6640,0.6640,0.0005,0.08%,0.6640,0.08%
159716,华宝深创100ETF行情,指数型-股票,0.7253,0.7253,0.7189,0.7189,0.0064,0.89%,0.7250,0.04%
159717,鹏华国证ESG300ETF行情,指数型-股票,0.8431,0.8431,0.8443,0.8443,-0.0012,-0.14%,0.8420,0.13%
159718,平安中证港股通医药卫生综合ETF行情,指数型-股票,0.7791,0.7791,0.7696,0.7696,0.0095,1.23%,0.7760,0.40%
159719,平安富时中国国企开放共赢ETF行情,指数型-股票,1.3251,1.3251,1.3145,1.3145,0.0106,0.81%,1.3270,-0.14%
159720,泰康中证智能电动汽车ETF行情,指数型-股票,0.6711,0.6711,0.6612,0.6612,0.0099,1.50%,0.6700,0.16%
159721,永赢深证创新100ETF行情,指数型-股票,0.7142,0.7142,0.7077,0.7077,0.0065,0.92%,0.7140,0.03%
159723,汇添富中证沪港深科技龙头ETF行情,指数型-股票,0.6919,0.6919,0.6846,0.6846,0.0073,1.07%,0.6960,-0.59%
159725,工银瑞信中证线上消费ETF行情,指数型-股票,0.9224,0.9224,0.8857,0.8857,0.0367,4.14%,0.9240,-0.17%
159726,华夏恒生中国内地企业高股息率ETF行情,指数型-股票,0.8187,0.8187,0.8211,0.8211,-0.0024,-0.29%,0.8180,0.09%
159728,南方国证在线消费ETF行情,指数型-股票,0.9421,0.9421,0.9044,0.9044,0.0377,4.17%,0.9410,0.12%
159729,汇添富中证沪港深互联网ETF行情,指数型-股票,0.6874,0.6874,0.6673,0.6673,0.0201,3.01%,0.6890,-0.23%
159730,博时国证龙头家电ETF行情,指数型-股票,0.8293,0.8293,0.8372,0.8372,-0.0079,-0.94%,0.8280,0.16%
159731,华夏中证石化产业ETF行情,指数型-股票,0.6990,0.6990,0.7010,0.7010,-0.0020,-0.29%,0.7000,-0.14%
159732,华夏国证消费电子主题ETF行情,指数型-股票,0.6557,0.6557,0.6509,0.6509,0.0048,0.74%,0.6570,-0.20%
159733,景顺中证消费电子ETF行情,指数型-股票,0.7498,0.7498,0.7419,0.7419,0.0079,1.06%,0.7480,0.24%
159735,银华中证港股通消费主题ETF行情,指数型-股票,0.5896,0.5896,0.5818,0.5818,0.0078,1.34%,0.5870,0.44%
159736,天弘中证食品饮料ETF行情,指数型-股票,0.8524,0.8524,0.8612,0.8612,-0.0088,-1.02%,0.8510,0.16%
159738,华泰柏瑞中证沪港深云计算产业ETF行情,指数型-股票,1.0276,1.0276,0.9960,0.9960,0.0316,3.17%,1.0300,-0.23%
159739,鹏华中证云计算与大数据主题ETF行情,指数型-股票,1.0994,1.0994,1.0545,1.0545,0.0449,4.26%,1.0970,0.22%
159740,大成恒生科技ETF(QDII)行情,QDII,0.4955,0.4955,0.4863,0.4863,0.0092,1.89%,0.4960,-0.10%
159741,嘉实恒生科技ETF(QDII)行情,QDII,0.4948,0.4948,0.4853,0.4853,0.0095,1.96%,0.4940,0.16%
159742,博时恒生科技ETF(QDII)行情,QDII,0.5042,0.5042,0.4947,0.4947,0.0095,1.92%,0.5040,0.04%
159743,博时湖北新旧动能转换ETF行情,指数型-股票,0.8769,0.8769,0.8698,0.8698,0.0071,0.82%,0.8750,0.22%
159745,国泰中证全指建筑材料ETF行情,指数型-股票,0.6944,0.6944,0.6939,0.6939,0.0005,0.07%,0.6950,-0.09%
159747,南方中证香港科技ETF(QDII)行情,QDII,0.9777,0.4889,0.9600,0.4800,0.0177,1.84%,0.9760,0.17%
159748,富国沪港深创新药产业ETF行情,指数型-股票,0.6659,0.6659,0.6680,0.6680,-0.0021,-0.31%,0.6640,0.29%
159750,招商中证香港科技ETF(QDII)行情,QDII,0.7240,0.7240,0.7111,0.7111,0.0129,1.81%,0.7220,0.28%
159751,鹏华中证港股通科技ETF行情,指数型-股票,0.6896,0.6896,0.6782,0.6782,0.0114,1.68%,0.6880,0.23%
159752,申万菱信中证内地新能源主题ETF行情,指数型-股票,0.6713,0.6713,0.6707,0.6707,0.0006,0.09%,0.6710,0.04%
159755,广发国证新能源车电池ETF行情,指数型-股票,0.8066,0.8066,0.7960,0.7960,0.0106,1.33%,0.8060,0.07%
159757,景顺长城国证新能源车电池ETF行情,指数型-股票,0.6540,0.6540,0.6455,0.6455,0.0085,1.32%,0.6540,0.00%
159758,华夏中证红利质量ETF行情,指数型-股票,0.9275,0.9275,0.9264,0.9264,0.0011,0.12%,0.9260,0.16%
159760,泰康国证公共卫生与健康ETF行情,指数型-股票,0.7234,0.7234,0.7319,0.7319,-0.0085,-1.16%,0.7240,-0.08%
159761,国泰中证新材料主题ETF行情,指数型-股票,0.6323,0.6323,0.6326,0.6326,-0.0003,-0.05%,0.6320,0.05%
159763,建信中证新材料主题ETF行情,指数型-股票,0.6202,0.6202,0.6210,0.6210,-0.0008,-0.13%,0.6190,0.19%
159766,富国中证旅游主题ETF行情,指数型-股票,0.8981,0.8981,0.8975,0.8975,0.0006,0.07%,0.8970,0.12%
159767,兴银国证新能源车电池ETF行情,指数型-股票,0.6523,0.6523,0.6438,0.6438,0.0085,1.32%,0.6530,-0.11%
159768,银华中证内地地产主题ETF行情,指数型-股票,0.7484,0.7484,0.7391,0.7391,0.0093,1.26%,0.7480,0.05%
159769,银华中证消费电子主题ETF行情,指数型-股票,0.7655,0.7655,0.7576,0.7576,0.0079,1.04%,0.7630,0.33%
159770,天弘中证机器人ETF行情,指数型-股票,0.8163,0.8163,0.8040,0.8040,0.0123,1.53%,0.8150,0.16%
