code,scale
510300,670.98
588000,560.59
510050,539.98
510500,499.19
513050,384.27
159915,336.25
512880,321.48
513330,294.43
159995,258.68
510330,246.84
512000,243.23
159919,216.1
588080,206.34
510180,201.7
513180,196.92
512480,194.83
512170,190.7
159949,175.46
510310,173.62
515790,167.47
159920,167.13
512760,161.53
159941,147.59
512010,145.47
510880,143.51
512690,122.16
515030,116.54
513130,112.17
512660,109.42
159928,107.59
511360,101.9
518880,101.12
512100,98.99
510900,98.41
515050,89.74
513060,79.55
512900,74.97
560050,72.0
515330,71.14
159781,70.87
159792,70.65
510810,68.62
159901,68.56
512800,65.23
159845,62.29
513100,62.11
159736,62.11
513500,61.88
515700,61.28
159937,60.91
159605,60.42
159977,60.32
516970,59.37
512710,58.79
563000,58.6
588050,56.22
515290,55.73
512950,54.71
560010,54.66
512960,54.01
511030,52.81
512070,52.69
512290,51.63
159650,50.53
159633,50.27
159992,50.12
512980,48.01
159629,47.97
159632,46.1
159922,44.63
513010,43.02
159841,42.46
159601,41.65
159783,41.65
515900,41.63
512200,40.34
516160,40.2
512400,38.99
159649,38.79
515220,38.64
159755,38.03
515170,37.89
159934,37.56
515380,37.38
159967,37.01
512680,36.95
512500,36.94
515000,36.12
159938,35.43
588090,35.41
159865,34.86
159623,34.55
510230,34.39
511520,33.97
159780,33.9
159972,33.54
159948,32.66
510510,30.71
159790,30.64
513660,30.24
159996,29.88
512670,29.56
159813,29.05
159682,27.84
510350,27.53
159952,27.26
513980,26.87
159959,26.47
159801,26.15
159939,25.58
159819,25.32
159857,24.86
159820,24.11
513550,23.97
511380,23.65
159740,23.05
159766,22.99
159998,22.75
159997,22.61
515120,22.33
159905,22.08
510580,21.78
159603,21.54
517300,21.31
516150,21.05
159825,20.96
562990,20.76
515650,20.58
588180,20.46
159611,20.28
515600,20.25
159883,20.22
515680,20.14
515800,20.03
588400,19.75
588380,19.37
515880,19.35
159994,19.34
159636,19.33
159940,18.84
588300,18.81
159607,18.73
588350,18.46
562860,18.23
159828,18.22
515080,18.2
159859,18.16
159671,18.11
515180,18.1
560080,17.91
512700,17.72
159806,17.28
561170,17.15
159638,17.05
159870,17.02
513300,16.81
517160,16.81
510360,16.41
159925,16.38
517330,16.36
159602,16.15
159837,15.89
512720,15.78
159816,15.49
512580,15.25
515210,15.24
510100,15.12
588200,14.89
159639,14.84
513580,14.72
159679,14.58
159869,14.37
159908,14.26
159993,14.07
159637,13.94
511220,13.92
159676,13.9
159929,13.81
515660,13.38
562310,13.32
560860,13.14
561190,12.88
159840,12.65
510380,11.53
510150,11.48
563030,11.46
560800,11.32
515070,11.27
561300,11.25
513090,11.04
518800,11.01
510210,10.9
515400,10.84
513380,10.8
588330,10.77
515230,10.73
560880,10.3
159742,10.23
516880,9.98
516110,9.78
560550,9.74
511020,9.6
516820,9.2
159796,9.15
515010,9.09
560500,9.09
561990,8.68
560090,8.65
516640,8.58
515710,8.54
515160,8.51
562000,8.49
516780,8.47
588060,8.46
159782,8.45
159850,8.4
561160,8.31
515150,8.28
159745,8.16
516950,8.16
159651,8.07
159968,8.06
159657,8.01
515950,7.94
